Campaign ID,Campaign Create Date,Campaign Start Date,Credit ID,Credit Type,Company ID,Broker UID,Brokerage,Credit Consumption Date,Discount Code,Revenue
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,27784756-efde-4479-aff7-d4b8f92cf9e1,Digital Profile,71eee226-9e8c-4b4c-b59b-806a75e8cb5e,90a1570e-1822-4815-adc2-f00f53432e77,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,28c9113f-d716-4cd3-b6c7-3a861b88b16c,Digital Profile,c0a2771c-5bb1-4d9a-b085-0a0819a3268c,cc197feb-8f33-4a4a-aa3f-e21bdfda7276,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,3d9d62bd-23c1-46bb-b3f7-bffa26bd9e0d,Digital Profile,e5fec5cd-9a44-405f-9a32-55b55c21c8b7,de02b83f-15d5-4a82-9693-ea77b5622106,FRP,8/5/24,0,209
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,8aa817d9-593f-4462-ac17-9a138818286b,Digital Profile,5efb09a4-431c-4948-9b74-9c86ff3bdc78,9e382f0b-112f-4991-8250-fbf3da954b62,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,5b261598-a765-422f-a7ab-f3d331b9c68d,Digital Profile,bc17d946-7030-491d-ac88-fe37562a9da0,eb35031e-606b-4ca2-aaeb-69017bc549dc,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,78d3bea7-eaaa-4870-939f-3b45d3ff146d,Digital Profile,df073d2f-1f27-4b9b-b2eb-d0b003b3010b,cdb12460-28e4-492a-ac56-e5a21d5b76d4,FRP,8/5/24,0,209
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,f4992a4d-0269-452c-a646-c3652333beb3,Digital Profile,ea2715a3-63a3-4b21-b59d-366da7dfc952,cdb12460-28e4-492a-ac56-e5a21d5b76d4,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,86888f1c-3042-4f4d-b884-f5c8761e9793,Digital Profile,35a536c7-8d7c-4c40-8c62-c2e77407e33d,c8ee1471-96c9-41cd-8eef-91f8e1d9ff34,FRP,8/5/24,1,0
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,7d616c38-ee09-427a-b87c-906c04ef18b3,Digital Profile,1360a436-51d5-4a31-963f-47a4a428e6d0,db90298f-341d-4565-bc97-ad93b455c81f,FRP,8/5/24,0,209
ca7c9d2b-0dd4-497e-958b-7505d5edd2bf,8/5/24,9/1/24,5239b6fd-82ee-4a83-a781-e941c9422f85,Digital Profile,3341e86b-b4bb-44de-b37d-3ed7d0c40eee,0338159a-6816-4bcd-afab-de494d9313bf,FRP,8/5/24,0,209
